,gender,age,race,field_cd,attr,sinc,intel,fun,amb,shar,like,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,match,like_o
0,0,21.0,4.0,1.0,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0,0,7.0
1,0,21.0,4.0,1.0,7.0,8.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,10.0,7.0,7.0,5.0,0,8.0
2,0,21.0,4.0,1.0,5.0,8.0,9.0,8.0,5.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0
3,0,21.0,4.0,1.0,7.0,6.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,8.0,1,7.0
4,0,21.0,4.0,1.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,8.0,7.0,9.0,6.0,9.0,7.0,1,8.0
5,0,21.0,4.0,1.0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,0,7.0
6,0,21.0,4.0,1.0,7.0,6.0,7.0,4.0,6.0,7.0,6.0,3.0,6.0,7.0,5.0,8.0,7.0,0,2.0
7,0,21.0,4.0,1.0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,8.0,6.0,0,7.0
8,0,21.0,4.0,1.0,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,1,6.5
9,0,21.0,4.0,1.0,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0,6.0
10,0,24.0,2.0,1.0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,8.0,7.0,6.0,9.0,7.0,4.0,0,7.0
11,0,24.0,2.0,1.0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,7.0,6.0,10.0,6.0,6.0,5.0,0,8.0
12,0,24.0,2.0,1.0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
13,0,24.0,2.0,1.0,7.0,9.0,7.0,6.0,5.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,1,9.0
14,0,24.0,2.0,1.0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,7.0,8.0,0,10.0
15,0,24.0,2.0,1.0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,0,7.0
16,0,24.0,2.0,1.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,5.0,3.0,4.0,3.0,5.0,3.0,0,4.0
17,0,24.0,2.0,1.0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,5.0,0,7.0
18,0,24.0,2.0,1.0,7.0,6.0,8.0,9.0,4.0,5.0,5.0,8.0,6.0,9.0,9.0,8.0,7.0,1,8.0
19,0,24.0,2.0,1.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,6.0,5.0,7.0,7.0,9.0,7.0,0,6.0
20,0,25.0,2.0,2.0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,8.0,6.0,5.0,8.0,4.0,0,5.0
21,0,25.0,2.0,2.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,6.0,7.0,10.0,6.0,6.0,5.0,0,7.0
